Can I change the entity or organization associated with my account?,"You cannot change the entity or organization associated with your beta.SAM.gov account.You must deactivate your account and create a new one to associate it with a different entity or organization.To deactivate your account, go to your profile page, then to Account Details, or use this URL: <a href=""http://beta.sam.gov/profile/details"">beta.sam.gov/profile/details</a>.At the bottom of the page, click the button labeled &quot;Deactivate Account.&quot;After deactivating your account, return to beta.sam.gov and create a new account."
Can I Delete a Notice?,"To edit, go to your data entry workspace and scroll down to the Contract Opportunities Data Entry section and select the active notice you need to delete. From there, locate the dropdown menu labeled, ‘Actions’, and select ‘inactive’ to make the opportunity inactive.That notice is now in archives. If contractors have signed up in beta.SAM.gov to follow the solicitation, they will receive notification whenever a notice has been deleted."
Can I Download My Search Results,"Yes! If you are signed in, you can download your search results by clicking the ‘download’ option to the right of ‘save search’. Users are able to download search results as either CSV or PDF files."
Can I remove an API Key?,The ability to remove a API key from your profile is not yet available.&nbsp; It is in the backlog for future development.
Can I remove a pending role request?,No. Role requests that are not acted upon by the administrator are deleted after 30 days.
Can I save my searches?,"Yes! Provided you are signed in, you have the ability to save your searches by locating and clicking ‘Save Search’ on the right side of the screen before you go to the detail page for that opportunity. Once a search is saved, you can rerun that search at any time. When you click, ‘save search’, box will appear asking you to name your search. Once named, you can save your search, and it will be accessible in your workspace.To receive notifications for a specific saved search, you just need to opt in on the site. You still need to be signed in and  navigate to your 'saved searches' list from either the main workspace or any search result page. From here select to see the drop downs under the action text for a specific saved search. One of the actions you can select is to 'notify' which will turn on these nightly notifications. The search will run each evening and send an email notification if there are new results that match the parameters of the search.To opt out or to stop receiving these notifications, simply navigate back to the 'actions' drop down and select 'stop notifications' for the specific search."
Can I use a wildcard in ad hoc contract data reports?,You can use the &ldquo;contains&rdquo; or &ldquo;begins with&rdquo; operator in the filter. You can also use the % sign as a wildcard character with the &ldquo;like&rdquo; operator.
Can I use folders in the new version to group the contract data ad hoc reports?,The initial version of reports in the Data Bank will not allow for saved reports to be grouped in folders. That capability will be considered for a future release.
Can I use my existing beta.sam email for login.gov?,"Yes. For existing beta.SAM.gov users, you should use your existing beta.SAM.gov email address to ensure that the profiles link to your existing account.If you use a different email address a new account will be created on beta.sam."
Can one system account provide access to multiple data sets?,"Yes, during the system account request process you can select permissions for multiple data sets.  However, you must have a system account for every one of your systems connecting to beta.SAM.gov."
Can you update System Account information after submission or approval?,"If a request has been submitted but not approved yet, the requestor can update the information and resubmit for approval.If already approved, the Author, associated System Manager if provided, or a System Account Administrator with appropriate access can select &quot;Request Changes&quot; under the &quot;Action&quot; drop-down on the System Account workspace to change fields and resubmit.Depending on the field change, the account may need to go through all approval steps, including security. The approval routing will occur automatically."
Contract Data (FPDS) Ad Hoc Reports Quick Reference Guide,"The purpose of this <a href=""https://falextracts.s3.amazonaws.com/Documentation/Contract%20Data/Reports/User%20Reference%20Guide%20-%20Ad%20Hoc%20Reports%20%28beta%29.pdf"">document</a> is to provide guidance for the Contract Data (FPDS) Ad Hoc Reports"
Contract Data (FPDS) Administrative Reports Quick Reference Guide,"The purpose of this <a href=""https://falextracts.s3.amazonaws.com/Documentation/Contract%20Data/Reports/User%20Reference%20Guide%20-%20Admin%20Reports%20%28beta%29.pdf"">document</a> is to provide guidance on the Contract Data (FPDS) Administrative Reports."
Contract Data (FPDS) Standard Reports Quick Reference Guide,"The purpose of this<a href=""https://falextracts.s3.amazonaws.com/Documentation/Contract%20Data/Reports/User%20Reference%20Guide%20-%20Standard%20Reports%20%28beta%29.pdf""> document</a> is to provide guidance on the Contract Data (FPDS) Standard Reports."
Contract Data (FPDS) Static Reports User Reference Guide,"The purpose of this <a href=""https://falextracts.s3.amazonaws.com/Documentation/Contract%20Data/Reports/User%20Reference%20Guide%20-%20Static%20Reports%20%28beta%29.pdf"">document</a> is to provide guidance for Data Bank Contract Data (FPDS) Static Reports."
Does a federal administrator need to assign administrator roles in beta.SAM.gov if administrators cannot migrate after the FBO.gov transition?,"Link to FBO Transition Guide for Federal  Administrators:  http://falextracts.s3.amazonaws.com/Documentation/Federal%20Hierarchy/QSG%20-%20Transition%20for%20Agency%20Administrators%20CO%20Domain.docx.pdfYou will need to assign all administrator roles for users who cannot migrate FBO.gov administrator roles. Users may not request an administrator role via beta.SAM.gov, so they will need to request that role directly from an existing administrator via email.  Users may find the list of their administrators and their emails by going to the User Directory section of their workspaceClick on User Directory to see the entire listUsing the left hand filters, they can narrow the search results to display users with the role ‘Administrator’ for the ‘contracting opportunities’ domain. The results include the administrator’s name, work email, and organizationIf users cannot access the list of their administrators, the FSD can  provide them the names and emails of their administrators"
Does a federal administrator need to assign system administrator and system manager accounts in beta.SAM.gov?,Designated System Administrators may assign system administrator or system managers roles.  System Admin and System Manager roles can not be requested.
Does login.gov allow for multiple email addresses?,"Yes. Go to your login.gov account [<a href=""https://secure.login.gov/"">https://secure.login.gov</a>] and add your additional email address to your profile."
Does the system account require renewal at select intervals?,beta.SAM.gov will be implementing a renewal process at a later date.
Does this change impact public users who do not log in to beta.SAM.gov?,No. There is no change for users who search and view public data on beta.SAM.gov without logging in to the system.
Do I need a Beta.SAM.gov account to view Opportunities?,"Government Users: If you want to update or post notices, then yes you will need an account and the appropriate privileges.Non-Government Users: If you are interested in saving searches, following contract opportunities, requesting secure documents or signing up for an Interested Vendor List, you will need a login.gov account in beta.SAM.gov."
Do I need an account and a role to access the contract opportunity extracts and APIs which replace the FTP?,"If you need a single daily pull of the contract opportunities data, you just need an account (no role or system account is needed). The data can be accessed from the Data Services area of beta.SAM.gov. This daily file is a snapshot of the data as of that day in beta.SAM.gov.If you need a more real time pull of the data, then you will want to use the GET Rest API call. To use this call you will need an API key which can be retrieved for any individual account or system account. An individual account is limited to 10 calls per day.  If higher call volumes are needed, you will need to request a system account.  Non-Federal system accounts also have specific daily limits on their calls.Note: Contract writing systems that use the SOAP web services or the REST API to submit information to beta.SAM.gov will need an account, system account roles and a GSA approved system account."
Do I need an account to create contract data reports?,"You need to create an account in beta.SAM.gov to run standard, administrative, and ad hoc reports. You do not need an account to view static reports."
Do I need a system manager or administrator role?,If you responsible for sending data or receiving data from beta.SAM.gov you will require a role.  There are two roles for System Account Management:-System Administrator: The system administrator role allows you to submit a request for a system account to GSA for approval. It also allows you to assign and approve roles for other people who will be managing your systems.-System Manager: The system manager role allows you to edit systems that you are responsible for. It allows you to create requests for system accounts that are sent to your agency System Administrator for approval before being sent to GSA for approval.
Do I need a user account?,"A beta.SAM.gov user account is required in order to access additional functionality beyond the basic public search. This functionality currently includes, data entry for Assistance Listings (Federal Users Only), save searches, follow records, and workspace. If you had an account in one of the original websites, you will need to create a new beta.SAM.gov account. When an original site is retired, you will be able to use your beta.SAM.gov account to migrate your existing roles."
Do I need to pay a fee to register or keep my SAM entity registration active?,"No. It is 100% FREE to register your entity, and to maintain your entity registration, in the System for Award Management (SAM). It is also free to get help with your registration. Just contact our supporting Federal Service Desk.If you are contacted through social media, by phone, text, fax, or email by a company offering to help you register for a fee, or to activate your registration in SAM for a fee, be very cautious. The U.S. Government does not charge a fee to register in SAM. The U.S. Government does not use social media to directly contact you. No Government staff will call or text you to solicit business. Additionally, no Government staff will request money in order to renew or activate your registration or to be eligible for an award.If you receive an unsolicited email claiming, or implying, affiliation with the Government (or which a reasonable person could confuse with an official message from the Government), you can:	Forward the email to Federal Trade Commission, specifically its Unsolicited Consumer Emails (UCE) program at spam@uce.gov   	Report the contact to the Federal Bureau of Investigation, specifically its Internet Crime Complaint Center (IC3) https://www.ic3.gov/complaint/default.aspx"
Do I need to register for an account on beta.SAM.gov to support assistance listings?,"Assistance User accounts are only for federal government staff managing the assistance listing data and an assistance administrator must approve the account.Users  must register for an account in beta.SAM.gov to support assistance listings. Users can register in beta.SAM.gov by doing the following:1. Click on Sign-Up.2. Enter your email address. 3. Click on Submit.4. Check your email account.5. Click the link in the email to register.6. Complete the sign-up process as directed.7. After completing the sign-up process, request a user role from the ""My Roles"" page."
Do I need to re-register my entity in beta.SAM.gov?,"No, you will not need to re-register your entity, but you will need to create a new beta.SAM.gov user account. Your entity data will migrate to the new site. You will be able to claim your legacy SAM.gov roles using your new beta.SAM.gov account."
Do you have an Admin Guide?,http://falextracts.s3.amazonaws.com/Documentation/Federal%20Hierarchy/FAQs%20for%20Federal%20Administrators%20%283%29.pdf
How are CFDA numbers assigned?,"The CFDA number is a  unique identifier used to reference a specific Assistance Listing. CFDA numbers are typically configured to automatically assign upon submission of a new assistance listing unless your agency manages its own numbering scheme. In that case, it must be configured by an assistance administrator."
How are fringe benefits required to be paid to the contractor for a SCA or DBA covered contract?,"Employers provide fringe benefits separate from and in addition to the specified minimum hourly rate provided on the wage determination. The Wage and Hour Division determines prevailing wage rates and fringe benefits for federal contractors. For more information about fringe benefits for Service Contract Act (SCA) Wage Determinations, please review the Frequently Asked Questions section pertaining to SCA Fringe Benefits. You may also review the SCA Compliance Principles resource guide, and 29 CFR §§ 4.170(b), 4.171,  and 4.177.SCA Fringe Benefits: https://www.dol.gov/whd/regs/compliance/web/SCA_FAQ.htm#fringeSCA Compliance Principles: https://beta.sam.gov/help/wage-determination-resources4.170(b): https://www.govinfo.gov/content/pkg/CFR-1999-title29-vol1/pdf/CFR-1999-title29-vol1-sec4-170.pdf4.171: https://www.govinfo.gov/content/pkg/CFR-1999-title29-vol1/pdf/CFR-1999-title29-vol1-sec4-171.pdf4.177: https://www.govinfo.gov/content/pkg/CFR-1999-title29-vol1/pdf/CFR-1999-title29-vol1-sec4-177.pdfFor more information about the Davis-Bacon and Related Acts (DBRA), please review the Frequently Asked Questions section pertaining to DBA Fringe Benefits.DBA Fringe Benefits: https://www.dol.gov/whd/programs/dbra/faqs/fringes.htmFor further assistance with fringe benefit calculations, you may contact the Department of Labor Wage and Hour Division’s district office that corresponds to the contract’s place of performance. You may locate the correct district office online at http://www.dol.gov/whd/america2.htm, or you can contact the national Wage and Hour Division contact center by phone, 1-866-487-9243 or email, WHD-WDS-PolicySupport@dol.gov."
How are fringe benefits required to be paid to the contractor for a SCA or DBA covered contract?  What geographical areas apply to SCA covered contracts?,"The SCA establishes standards for prevailing compensation and safety and health protections for employees performing work for contractors and subcontractors on service contracts entered into with the federal government and  District of Columbia. SCA provisions are applicable to contracts. The principal purpose of which is to provide services in the United States through the use of service employees.For purposes of the SCA, the term ""United States"" includes any state, the District of Columbia, Puerto Rico, the Virgin Islands, the Outer Continental Shelf lands as defined in the Outer Continental Shelf Lands Act, American Samoa, Guam, Wake Island, Johnston Island, and the Commonwealth of the Northern Mariana Islands. The SCA does not apply to work performed in any other territory under the jurisdiction of the United States or any United States base or possession within a foreign country. Also, the SCA does not apply to work performed on ships operating in international or foreign waters. If a portion of the contract services is performed within the United States and a portion is performed outside the United States, the SCA applies to the portion performed in the United States only."
How can a federal administrator verify if an individual user has a contract opportunity role in beta.SAM.gov?,"As an administrator, you may access a list of your user’s roles.Go to the User Directory section of your workspaceIn the User Directory, enter the user’s email or nameYou can see an individual's assigned roles and role"
How can a federal administrator view a complete list of users and their roles?,"You can view your entire user list.-Go to the User Directory section of your workspace-Click on User Directory to see the entire listIf you wish to narrow the scope, you may utilize the filtersTo filter by organization, go to Organization filter.  Enter your Department/Ind. Agency and use the drop downs to select lower level organizations.  You can also limit your search to federal employees, specific roles or specific domains"
How can a federal administrator view “orphaned” notices that do not match the beta.SAM.gov federal hierarchy?,"As we moved from the legacy FBO.gov hierarchy to the new beta.SAM.gov federal hierarchy, some active notices are no longer tied to an active federal hierarchy office and require reassignment. The notices will still be visible and searchable but may not be edited/published by a contracting officer until they are reassigned.   You may go to the contract opportunities workspace, click on “Notice Federal Organization” and select ""orphan” to see the list of your active notices which are not associated with a valid office.  Open the editor to update the office and publish.  After the change, the notice will:  Display the new office  Update access to all Federal users with roles in that office  Be searchable through the federal organization filters  Appear in any reports run for that officeNote: To view and update the hierarchy associated with an “orphaned” notice, you must hold a role at one level higher than the office assigned to the “orphaned” opportunity.  For notices published by civilian agencies, this means a role at the sub-tier or Department/Independent Agency level is required to correct the office."
How can a federal user view their hierarchy?,"Any logged in federal user can view the federal hierarchy of their agency including offices.  Go to My WorkspaceIn the upper left-hand box, click on Go to Federal Hierarchy →  A list of sub-tiers will be displayed.Click on a sub-tierClick on Hierarchy in the left columnA list of offices will be displayed"
How can federal users find their administrator for contract opportunities in beta.SAM.gov?,They can go to the user directory section in their workspaceClick on User Directory to see the entire list of usersEnter the department/Ind. Agency and use the drop downs to select lower level organizations. They should  limit their search to administrator role in the contracting opportunity domain
How can I Create a Notice?,"You must login.Verify that you have a role as a Contracting Specialist or Contracting Officer. Although you may be able to “create” as a Contract Specialist, you will not be able to “post” the notice so it is visible to the public. You must have the Contracting Officer role to publish a notice.Your Agency Role Administrator can provide you with the necessary role."
How Can I Determine if a Solicitation Has Been Awarded?,"You may filter your search by type of notice. In this case limit your filter to award notices. If you know the number of the solicitation, you may also enter that number in the key word box."
How can I filter by State?,"When you are on the Search Result Page, you can change the filter options by clicking the ""Change Filter"" link available in the upper left corner. There are many options including PoP State."
How can I find archived DBA WDs and SCA WDs on beta.SAM.gov?,"Please be aware that archived WDs are available for reference purposes only. Contracting Officers should not use an archived wage determination in a contract action without prior DOL approval. For Archived DBA WDs and SCA WDs: Go to  the search tool on any page of beta.SAM.govSelect “Wage Determination” from the drop-down menuEnter a keyword or just click “Search”Uncheck the active status box to see both active and not active WDs (archived, expired, etc.,)Note: Access to the wage determinations on the beta.SAM.gov website is available to the public for information purposes only. The only Wage Determinations applicable to a particular solicitation."
How can I find Assistance Listings on beta.SAM.gov?,Copy and paste the link below into your browser’s address bar to view a quick video on how to find Assistance Listings on beta.SAM.gov.https://youtu.be/bPIrh621UgQ
"How can I ""Follow"" an Opportunity?","NOTE: Any ‘watch lists’ from FBO.gov will not transfer tobeta.SAM.gov. To ensure you can follow similar opportunities in beta.SAM.gov, please take note of the opportunities in your ‘watch lists’ in FBO.gov.If you’re interested in receiving updates for a notice, sign in and select ’ follow’ on the top of an opportunity page. Any new updates to the opportunity will trigger a notification for any notice being followed. You can manage your followed items under workspace in your profile."
How can I obtain compliance training on Prevailing Wage?,"The Office of Government Contracts conducts Prevailing Wage Seminars to provide compliance training on an annual basis. Please check https://www.dol.gov/whd/govcontracts/PrevailingWageSeminars.htm for information regarding the Prevailing Wage Seminars. You may also contact the U.S. Department of Labor, Branch of Government Contracts Enforcement, located at 200 Constitution Avenue, NW, Room S-3006, Washington, DC  20210 to obtain additional information. https://www.dol.gov/whd/govcontracts/regions.htm"
How can I obtain more information regarding the Davis-Bacon Act and/or the Service Contract Act on beta.SAM.gov?,"For information regarding the Davis-Bacon Act and/or Service Contract Act on beta.SAM.gov, go to www.beta.sam.gov/help/award#wageDetermination. To view the labor advisors, click on the tab labeled “Labor Advisors.” The latest updates and external resources are located under the “Resources” section on the bottom of the page."
How can I obtain the latest SCA and/or DBA wage determinations (WDs) from beta.SAM.gov?,"WDOL categorizes SCA and DBA wage determinations by the county in which the contractor will perform the work. If you know the city where the contractor will perform the work but need help in identifying the county in which that city is located, the following websites provide tools that may be helpful to identify the county: U.S. Geological Survey (USGS)’ http://geonames.usgs.govNational Association of Counties (NACO)’ .http://explorer.naco.org/ To obtain the latest SCA WDs, use the filters on the left hand side:    1. Select the state and county where the work will be performed. 2. Click on the “Service Contract Act ” option under “Wage Determination” type. 3.  Respond to each SCA logic question to obtain the appropriate wage determination. 4. The applicable SCA WD will display. To obtain the latest DBA WDs, use the filters on the left hand side:    1. Select the state and county where the work will be performed. 2. Click on the “Davis-Bacon Act ” option under “Wage Determination” type.3. Select the construction type. 4. The applicable DBA WD will display.When WDs are replaced, the preceding WD is archived.  Note: Access to the wage determinations on the beta website is available to the public for information purposes only. The only WDs applicable to a particular solicitation or contract are those that the contracting officer has incorporated in that contract action."
How can I receive automatic notifications from beta.SAM.gov when an SCA or DBA Wage Determination (WD) changes?,"Once logged into beta.SAM.gov, users can subscribe to automatic notifications by clicking on “Follow” located within each WD record. To manage notifications, go to your user profile under “Follow” and change the frequency of followings or unfollow."
"How can I receive technical assistance related to my use of the beta.SAM.gov website (i.e., cannot locate a WD, receive error messages such as page cannot be displayed, etc.)?","Users should create an account at  https://www.fsd.gov/fsd-gov/account-creation.do, then submit a question via web form online or start a live chat."
How can I reset or retrieve my System Account Password?,"To reset a System Account password, use the &quot;Reset Password&quot; function:First, provide the current password.Then enter the new password in the second field and confirm it in the third field.To complete the process, select &quot;Submit,&quot; which will validate and process the request.To retrieve your password, use the &quot;Forgot Password&quot; function:First, select to receive a One-Time Password (OTP). This will send an email to the logged-in user. Retrieve the OTP from email and enter it into the prompt within the system account.You will then be able to retrieve your password to use with system calls."
How can I submit a conformance request when a necessary job classification is not listed on the applicable wage determination after a contract has been awarded?,"Contractors are responsible for complying with the minimum wage and benefits requirements for each classification performing work on the contract. If the applicable wage determination does not list a classification considered necessary by the contractor for performance of the work, the contractor must initiate an SF1444, Request for Authorization of Additional Classification and Rate, at the time of employment of the unlisted classification.  For the current SF-1444 Form: https://www.gsa.gov/forms-library/request-authorization-additional-classification-and-rateThe contractor submits the completed SF-1444 to the contracting officer. The contracting agency reviews the SF1444 before submitting the conformance request to the Department of Labor (DOL). Only a government agency contact can submit the conformance request. Contracting officers may submit completed SF1444 requests to the DOL via the following public email box: SCA forms will be emailed to: SCAconformance@dol.gov DBA forms will be emailed to: WHD-CBACONFORMANCE_INCOMING@dol.gov Once submitted, the DOL will send an auto acknowledgment to the submitter. The DOL will complete the process and return the completed letter back to the contracting agency for distribution to the interested parties.More information about compliance assistance for government contracts related to the DBRA and the SCA is available at http://www.dol.gov/whd/contracts. Please contact the Department of Labor’s Wage and Hour Division at 1-866-487-9243 Monday-Friday 8 a.m. to 5 p.m. for further assistance.  You may also contact your Department of Labor Wage and Hour Division (WHD) Local Office.Department of Labor Wage and Hour Division (WHD) Local Office Linkhttp://www.dol.gov/whd/america2.htm"
How Can I View the IVL?,"Using a direct link, search or your workspace: Open the published opportunity In the left hand navigation of the opportunity you will find the IVL listYou can only view this list online - there currently is no download feature."
How does a government user submit an e-98 notification request for an SCA WD in beta.SAM.gov?,Users can submit an e-98 notification request for a SCA WD in beta.SAM.gov by:Selecting “Wage Determinations” from the search drop downClicking “Search”Click the link in the blue information box and from there you can submit a request
How does a system admin or system manager obtain a system account?,An agency administrator can assign system administrator or system manager roles to anyone in their hierarchy. A system administrator can assign system administrator or system manager roles to anyone in their hierarchy.
How does the Department of Labor categorize wage determinations for SCA and DBA contracts?,"The Department of Labor categorizes both Service Contract Act Wage Determinations and Davis- Bacon Act Wage Determinations (DBA WDs) by the state and county where the work is being performed (also known as the “place of performance”). DBA are also categorized by the type of construction (Building, Heavy, Highway, or Residential). Job titles and wage rates are listed by occupational categories within the applicable wage determination.Building, Heavy, Highway, or Residential: https://www.wdol.gov/usrguide/sectionc.aspx#c4bFor determinations on occupations not listed on the WD that is applicable to the state and county where your contract work is being performed, you can complete form SF1444 Request for Authorization of Additional Classification and Rate and submit it to your contracting officer.  For the current SF-1444 Formhttps://www.gsa.gov/forms-library/request-authorization-additional-classification-and-rateIf you are unable to locate a SCA WD for your place of performance, please contact your contracting officer who may complete form E98 Notice of Intention to make a Service Contract and Response to Notice.Form E98: https://www.dol.gov/whd/govcontracts/sca/sf98/sf98.asp If you are unable to locate a DBA WD for your place of performance, please contact the Department of Labor Wage and Hour Division at 1-866-487-9243 or WHD-WDS-PolicySupport@dol.gov for further assistance."
How does the Search tool work?,Copy and paste the link below into your browser’s address bar to view a video about our new search tool. https://youtu.be/gcecRv4pZTw
How do I access a controlled attachment on a contract opportunity?,"You must be signed in, and your account must be associated with an entity that has been certified by the Joint Certification Program. You will not immediately be permitted to view the document.Click the document title to request access and enter your reason for requesting access in the popup window that appears. The status of the attachment will change from Controlled to Pending. You will receive an automated email indicating that you requested access to the document.You will receive a second email once your request has been adjudicated. The email will contain a link for you to sign in to view the result of your request. If your request was rejected, there will be a reason for rejection in the Response field. If your request is approved, your entity is responsible for managing the document in accordance with prescribed directives.If your entity is not certified by the Joint Certification Program, you can go to <a href=""https://www.dla.mil/HQ/LogisticsOperations/Services/JCP/"">https://www.dla.mil/HQ/LogisticsOperations/Services/JCP/</a> to enroll. There is a link for completing DD Form 2345. Please note that the form must be mailed along with additional information, and approval can take several weeks."
How do I access wage determinations on beta.SAM.gov?,Locate the search bar available on any page. Select “Wage Determinations” from the “All Domains” drop-down menu. Proceed to input a keyword.
How do I add/delete an amendment/authorization to an assistance listing?,"Users can enter amendments on assistance listings during the initial creation of the assistance listing or add them during a future revision.Note: The Assistance Administrator must grant their assistance user the rights to add or edit assistance listings before these features will be available on the assistance user account. To add an amendment to a new or existing assistance listing, follow the steps below:1. Sign in to beta.SAM.gov.2. Scroll to the Data Entry section and select the “Go to Assistance Listings.”3. Select “Published” located under “Status.”4. Select your assistance listing.5. Click on the “Edit” tab.6. Click on “Authorizations.”7. Select your desired authorization.8. Click on “Amend.”9. Select the applicable types and fill out the required information10. Click on “Done.” To delete an amendment to a new or existing assistance listing, follow the steps below: 1. Sign in to beta.SAM.gov.2. Scroll to the Assistance Listing section and select the “Go to Assistance Listings.”3. Select “Published” located under “Status.”4. Select your assistance listing.5. Click on the “Edit” tab.6. Click on “Authorizations.”7. Locate your desired authorization and amendment.8. Click on “Delete.”10. When the pop-up window opens, click “Ok” to confirm the deletion of the amendment. Beta.SAM.gov does not limit the number of amendments allowed on one assistance listing.For further assistance managing Amendments/Authorizations, please contact your Assistance Administrator."
How Do I Allow an Interested Vendor List on My Notice?,"When you create a new solicitation or combined synopsis/solicitation, you will be allowed to select whether you want to allow an IVL.You will also need to determine who will have visibility into the IVL. Go to data entry in your workspace and select Create a contract opportunity. In the general information tab you will be asked to AllowVendors to Add to the IVL and to Allow Other Vendors to View. Allowing other vendors to view the IVL may be beneficial when subcontracting is expected."
How do I associate or change a federal organization on my user account?,"Federal organizations can only be associated with a federal user. When you register with your federal government email address, you will be aligned to a federal organization at the department level.You can choose to add a sub-tier to your user profile during registration. This sub-tier association will by default restrict certain views to that lower sub-tier level.After registration you can change, add, or remove this sub-tier association by going into your profile page and selecting &quot;edit&quot; for the federal organization.You can not change the department association. This user profile organization association is different from the organization tied to a role. These can be found under the &quot;my roles&quot; page in your profile ."
How do I change an expired API Key?,"New API keys are automatically generated before the key that has been in use expires.<strong>No action is required by the user to generate a new key. </strong>If you use the key in any saved API calls, those API calls will need to be updated to reflect the new key values.Any calls using an expired key will fail.Users will receive an email before the expiration of current API keys to remind them new API keys are available and to use the new key when the old key expires."
How do I change the phone number I use to sign in?,"To change the phone number where you get your security code, go to https://www.login.gov/ and select “Manage Account” to sign into your login.gov account. Once signed in, select “edit” next to the phone number. Enter the phone number and select “confirm change.” login.gov will immediately send your security code to confirm the new phone number."
How do I complete Certified Payroll Forms for my contract?,"The U.S. Department of Labor made the WH-347 Payroll Form available for the convenience of contractors and subcontractors required by their federal or federally-aided construction-type contracts and subcontracts to submit weekly payroll data. When this form is properly filled out,  it will satisfy the requirements of Regulations, Parts 3 and 5 (29 C.F.R., Subtitle A), as to payroll data submitted in connection with contracts subject to the Davis-Bacon and Related Acts (DBRA).  WH-347 Payroll Form:https://www.dol.gov/whd/forms/wh347.pdfFor more information on completing this form, please review the instructions. You may also contact the DOL Wage and Hour Division at 1-866-487-9243 or WHD-WDS-PolicySupport@dol.gov for further assistance.Instructions:http://www.dol.gov/whd/forms/wh347instr.htm"
